main,#ID,sub,special,special points,level,price,class,introduced
.52 Gal,50,Splash Wall,Killer Wail 5.1,190p,11,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
.96 Gal,80,Sprinkler,Ink Vac,190p,17,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
.96 Gal Deco,81,Splash Wall,Kraken Royale,210p,23,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Aerospray MG,30,Fizzy Bomb,Reefslider,180p,5,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Aerospray RG,31,Sprinkler,Booyah Bomb,190p,18,1,Shooter,Version 2.0.0 (Chill Season 2022)
Annaki Splattershot Nova,101,Ink Mine,Inkjet,210p,12,1,Shooter,Version 4.0.0 (Sizzle Season 2023)
Ballpoint Splatling,4030,Fizzy Bomb,Inkjet,210p,30,1,Splatling,Version 1.0.0 (Drizzle Season 2022)
Ballpoint Splatling Nouveau,4031,Ink Mine,Ink Vac,200p,30,1,Splatling,Version 5.0.0 (Drizzle Season 2023)
Bamboozler 14 Mk I,2050,Autobomb,Killer Wail 5.1,200p,23,1,Charger,Version 1.0.0 (Drizzle Season 2022)
Big Swig Roller,1040,Splash Wall,Ink Vac,190p,16,1,Roller,Version 2.0.0 (Chill Season 2022)
Big Swig Roller Express,1041,Angle Shooter,Ink Storm,200p,18,1,Roller,Version 4.0.0 (Sizzle Season 2023)
Blaster,210,Autobomb,Big Bubbler,180p,3,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Bloblobber,3030,Sprinkler,Ink Storm,190p,19,1,Slosher,Version 1.0.0 (Drizzle Season 2022)
Bloblobber Deco,3031,Angle Shooter,Kraken Royale,200p,23,1,Slosher,Version 5.0.0 (Drizzle Season 2023)
Carbon Roller,1000,Autobomb,Zipcaster,170p,6,1,Roller,Version 1.0.0 (Drizzle Season 2022)
Carbon Roller Deco,1001,Burst Bomb,Trizooka,190p,22,1,Roller,Version 2.0.0 (Chill Season 2022)
Clash Blaster,230,Splat Bomb,Trizooka,180p,22,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Clash Blaster Neo,231,Curling Bomb,Super Chump,170p,25,1,Blaster,Version 3.0.0 (Fresh Season 2023)
Classic Squiffer,2000,Point Sensor,Big Bubbler,190p,8,1,Charger,Version 1.0.0 (Drizzle Season 2022)
Custom Blaster,211,Point Sensor,Triple Splashdown,180p,8,1,Blaster,Version 6.0.0 (Chill Season 2023)
Custom Dualie Squelchers,5031,Squid Beakon,Super Chump,210p,16,1,Dualie,Version 4.0.0 (Sizzle Season 2023)
Custom Goo Tuber,2061,Fizzy Bomb,Ultra Stamp,200p,28,1,Charger,Version 5.0.0 (Drizzle Season 2023)
Custom Jet Squelcher,91,Toxic Mist,Ink Storm,180p,20,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Custom Splattershot Jr.,11,Torpedo,Wave Breaker,190p,6,1,Shooter,Version 2.0.0 (Chill Season 2022)
Dapple Dualies,5000,Squid Beakon,Tacticooler,180p,14,1,Dualie,Version 1.0.0 (Drizzle Season 2022)
Dapple Dualies Nouveau,5001,Torpedo,Reefslider,190p,26,1,Dualie,Version 2.0.0 (Chill Season 2022)
Dark Tetra Dualies,5040,Autobomb,Reefslider,200p,17,1,Dualie,Version 1.0.0 (Drizzle Season 2022)
Dread Wringer,3050,Suction Bomb,Reefslider,190p,15,1,Slosher,Version 5.0.0 (Drizzle Season 2023)
Dualie Squelchers,5030,Splat Bomb,Wave Breaker,200p,8,1,Dualie,Version 1.0.0 (Drizzle Season 2022)
Dynamo Roller,1020,Sprinkler,Tacticooler,190p,12,1,Roller,Version 1.0.0 (Drizzle Season 2022)
E-liter 4K,2030,Ink Mine,Wave Breaker,210p,18,1,Charger,Version 1.0.0 (Drizzle Season 2022)
E-liter 4K Scope,2040,Ink Mine,Wave Breaker,210p,27,1,Charger,Version 1.0.0 (Drizzle Season 2022)
